Version,Year,Release_Date,Total_Characters,Han_CJK,Latin_Extended,Arabic_Hebrew,Indic_Scripts,Symbols_Emoji,Historic_Scripts,Other_Scripts
1.0,1991,October 1991,7096,2350,496,192,680,1200,0,2178
1.0.1,1992,June 1992,28294,23554,496,192,680,1200,0,2172
1.1,1993,June 1993,34168,27860,700,200,700,1300,0,3408
2.0,1996,July 1996,38885,32376,720,220,710,1450,0,3409
2.1,1998,May 1998,38887,32376,720,220,710,1452,0,3409
3.0,1999,September 1999,49259,38958,800,235,740,2100,0,6426
3.1,2001,March 2001,94205,82211,800,235,740,2800,300,7119
3.2,2002,March 2002,95221,82270,820,240,750,2850,350,7941
4.0,2003,April 2003,96447,82270,850,330,760,2950,700,8587
4.1,2005,March 2005,97720,82398,880,400,780,3050,1200,9012
5.0,2006,July 2006,99154,82398,900,420,800,3200,2300,9136
5.1,2008,April 2008,100778,82406,920,440,820,3400,2500,10292
5.2,2009,October 2009,107426,86566,930,460,900,3600,3700,11270
6.0,2010,October 2010,109514,86788,950,480,920,4800,3750,11826
6.1,2012,January 2012,110246,86791,970,500,1000,4900,3900,12185
6.2,2012,September 2012,110247,86791,970,500,1000,4901,3900,12185
6.3,2013,September 2013,110252,86791,970,500,1000,4906,3900,12185
7.0,2014,June 2014,113021,86791,1100,520,1050,5200,5600,12760
8.0,2015,June 2015,120737,92562,1120,530,1070,5500,6200,13755
9.0,2016,June 2016,128237,92562,1150,540,1100,5700,13100,14085
10.0,2017,June 2017,136755,100056,1180,550,1130,5900,13200,14739
11.0,2018,June 2018,137439,100061,1200,560,1180,6100,13200,15138
12.0,2019,March 2019,137993,100061,1220,570,1200,6200,13200,15542
12.1,2019,May 2019,137994,100061,1220,570,1200,6200,13200,15543
13.0,2020,March 2020,143924,105030,1250,580,1250,6350,13500,15964
14.0,2021,September 2021,144762,105039,1400,590,1350,6500,13600,16283
15.0,2022,September 2022,149251,109232,1430,600,1380,6700,13800,16109
15.1,2023,September 2023,149878,109854,1440,600,1390,6750,13800,16044
16.0,2024,September 2024,155063,109854,1450,1540,1400,7200,17700,15919
17.0,2025,September 2025,159801,114170,1492,1548,1420,7350,17700,16121